S.No	Message	Category	Sub Category	New Sub Category	Negative or Not	Remarks
1082	I will meet her in Tokyo Station on 09-feb	To-Do	Event	TD_Event		
7803	call electricial urgently fix short circuit at home.	Emergency	Personal	E_Personal		
10417	There is terrorist attack near office call Police immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
545	Don't call me till tomorrow morning	General	General	G_General		
10209	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. 1.50 SP:Tyrone and win the best prize hurry up offer ends in a week	To-Do	Urgent_Normal	TD_Urgent_Normal		
4363	health insurance fraud.	Emergency	Police	E_Police		
17	we will call to you if we come your home	To-Do	General	TD_General		
9620	Are you asking whether to go to clinic? Are you mad?	General	General	G_General		
10705	She will bring him to hyderabad to meet my parents on January 06	To-Do	General	TD_General		
4943	Registeration for dance competition is on 4th april at 2 pm. Be prepared	To-Do	Event	TD_Event		
4511	Please don’t forget to fill your timesheet on every Thursday @4PM	To-Do	Event	TD_Event		
3036	Please come soon, I'm waiting here from past 1 hour, I need to meet you	Emergency	Personal	E_Personal		
3627	I am stalked by unknown person on the old market area.	Emergency	Police	E_Police		
2209	Any Accidents over on roads , please call 100 for help	Emergency	Police	E_Police		
5045	I will infrom you,once I am back to my work	To-Do	Urgent_Normal	TD_Urgent_Normal		
5696	Plant the seasonal fruit and vegetables tomorrow	To-Do	General	TD_General		
606	She waited for him to call.	General	General	G_General		
8115	fire near the mall, need immediate responcse	Emergency	Fire	E_Fire		
1622	I'll call you if I require your assistance.	To-Do	General	TD_General		
8337	There is an urgent need for a more effective method of treating this disease, call experts immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12250	Update: Service change order no. 7000000 for Airtel Mobile 000XXXXX0 has been submitted on 15-JAN-2017 12:06:11. To check the status of your request anytime, SMS SERVICE 70000000 to 121 from Airtel or to 9650000000 from Non-Airtel mobile.	General	General	G_General		
8028	Amazon delivery guy is here, call back once your free.	To-Do	General	TD_General		
6787	Hello, Fire inside my home, Please help	Emergency	Fire	E_Fire		
1770	Call me after you talk to Tom.	To-Do	General	TD_General		
8756	Let's move onto the next item about the meeting schedule	General	General	G_General		
7833	call family doctor not felling good	Emergency	Health	E_Health		
2507	I am hurt and in need of an ambulance	Emergency	Health	E_Health		
8738	I think we'd better leave that for another meeting.	General	General	G_General		
10511	three is final meeting before proceeding for the final game.	To-Do	General	TD_General		
8207	How much r willing to pay? Reply me waiting	To-Do	General	TD_General		
9232	Kidnapped by goons. Please help me.	Emergency	Personal	E_Personal		
10106	check proper size while buying clothes	To-Do	General	TD_General		
13175	bring water pipe.. Kitchen is burning !!	Emergency	Fire	E_Fire		
6001	Shop insurance should be paid beforehand for next month also	To-Do	Urgent_Normal	TD_Urgent_Normal		
12062	Can't talk, text me.	General	General	G_General_Neg	N_Emergency_Personal	
9641	Emergency! Mercury has been found on my office premises. Help to evacuate us and call the ambulance.	Emergency	Health	E_Health		
7610	I am scared as it is getting dark need help	Emergency	Personal	E_Personal		
7482	I cannot handle the situation anymore	Emergency	Personal	E_Personal		
6559	check monthly progress report	To-Do	General	TD_General		
1813	Please call your first witness.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2365	Evacuation at Canberra Hospital after switchboard catches fire	Emergency	Fire	E_Fire		
8522	When're you guys getting back? G said you were thinking about staying for mcr	General	General	G_General		
10694	She wants to meet him at bus stop at 1pm	To-Do	General	TD_General		
11287	camera battery is not working need it urgently	To-Do	Urgent_Normal	TD_Urgent_Normal		
3303	Animal slaughter is going on .	Emergency	Police	E_Police		
6978	I will be late to office since traffic jam due to fire catches in vehicle carrying LPG cylinder.	General	General	G_General		
1502	Please call me up tonight at my office.	General	General	G_General		
11104	we are driving beside the river and river has crossd its danger point,what to do	To-Do	General	TD_General		
1302	Is that why you called me?	General	General	G_General		
8604	Thanx 4 e brownie it's v nice…send me some more.	General	General	G_General		
2104	where are we going for this weekend?	To-Do	General	TD_General		
12644	IndiGo: Dear 6E Customer - Get online or get in line. Web check-in now. Just carry a print of your boarding pass and drop your bags at bag drop counters or proceed straight to gates. Power banks / portable mobile chargers, e-cigarettes are allowed ONLY in Hand-Baggage and NOT in Checked-in Baggage. Samsung Galaxy Note 7 are NOT allowed anywhere on-board. If any of these items are detected in X ray, your checked in baggage will NOT be loaded on the flight and maybe subject to further search.	General	General	G_General		
10493	Dear fire safety member lets meet to discuss fire drill activity details at 1 am	To-Do	General	TD_General		
3752	Suspection of a bomb near hospital.	Emergency	Police	E_Police		
7932	Apartment caught on fire near Indiara Nagar. Request emergency help.	Emergency	Fire	E_Fire		
2830	The meeting is finished	General	General	G_General		
11021	Feeling hyper tension	Emergency	Health	E_Health		
2318	Only first 15 results shown.	General	General	G_General		
3414	We are shifting Prahanth to Manipal Hospital, please call his parents immediately.	Emergency	Personal	E_Personal		
8162	Thank u! Now I have to call her	To-Do	General	TD_General		
8839	She advised him of the date for the next meeting.	General	General	G_General		
6930	Emergency declared on fire accident, please clear the premises.	Emergency	Fire	E_Fire		
12039	Order Received: We have received your order for Intex Aqua 5.5 VR (Bla... with order id OD407892169138661000 amounting to Rs.4899. You can expect delivery by Tue 20, Dec 2016. We will send you an update when your order is packed. Manage your order http://fkrt.it/1c61n!NNNN .	General	General	G_General		
12685	Activation of 3rd party added by you at 05-03-2017 7:43:24 PM is in process. Money can be transferred only after activation	General	General	G_General		
3144	Fire at Cessna Business Park	Emergency	Fire	E_Fire		
4828	I, the Managing Director of MNC International Co. Ltd., call for an urgent board meeting following the sudden cancel of order from one of our major UK Clients. This meeting is to discuss the reason, and the measures to rectify the same.	To-Do	Event	TD_Event		
3153	Your appointment for apolloCradle has been postponed for 10:00a.m. . Ensure that you reach at time	Emergency	Health	E_Health		
9169	Critical matter. Call now.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3847	Last day for completing approvals (KPI/Leave..)	To-Do	Urgent_Normal	TD_Urgent_Normal		
3078	Meeting is scheduled, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
212	Please tell Tom it's urgent. call him	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10321	Change again... It's e one next to escalator...	General	General	G_General		
4229	List down all the complains on the XYZ police station	To-Do	General	TD_General		
10	he is near to market please call him to meet him	To-Do	General	TD_General		
749	She wasn't able to meet her on her birthday	General	General	G_General		
655	Call me anytime.	General	General	G_General		
1377	Were there any calls for me? (sharptoothed)	General	General	G_General		
2267	I have seen a masked person talking to your kid , might be he have kidnapped , call police and inform	Emergency	Police	E_Police		
4039	Rash driving of a school van.	Emergency	Police	E_Police		
9258	Emergency! There has been a hazardous spill in house.	Emergency	Personal	E_Personal		
1062	Tom showing interest for meeting on monday	General	General	G_General		
1956	don’t talk	General	General	G_General		
8676	This is his meeting Schedule.	General	General	G_General		
753	Would you like to meet tomorrow?	To-Do	General	TD_General		
4766	Spa/Salons, Today, you have booked appointment at 6PM.	To-Do	Event	TD_Event		
11566	Dear Sir/Madam,We hope XXX has received your vehicle to satisfaction, if not satisfied, pls type "No KA53M9754" and send it to 9XXXX6626	General	General	G_General		
5033	This is xyx,Tom's teacher Please send Tom's School fee tomorrow	To-Do	Urgent_Normal	TD_Urgent_Normal		
3021	please bring sugar while coming to home, my sugar level is low	General	General	G_General_Neg	N_Emergency_Health	
12087	Rs 855.00 was spent on your Credit Card 4386XXXXXXXX3646 on 25-DEC-16 at ROYAL TREAT.	General	General	G_General		
4900	Coldplay concert ticket booking opens at 12a.m today..dont forget to book	To-Do	Event	TD_Event		
12466	Okay we will do	To-Do	General	TD_General		
797	I can meet with Tom today at 6pm	To-Do	Event	TD_Event		
9722	I am in hospital, check the max amount can be climed from insurance	Emergency	Health	E_Health		
6323	Your renewal payment is now overdue. Please contact us on XXXXX URGENTLY to discuss your policy.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2306	Jimmy is not well measles, I should call a doctor for help	Emergency	Health	E_Health		
653	Who called 911? (	General	General	G_General_Neg	N_Emergency_Personal	
9024	missed person at mall	General	General	G_General		
11233	please come soon , all are waiting for you	To-Do	Urgent_Normal	TD_Urgent_Normal		
10222	I am great princess! What are you thinking about me? :)	General	General	G_General		
8357	Your credit card balance is exhausted, call back immediately to avoid penalty	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2702	Monday, April 3, 2017 suits me, I’m in that day.	To-Do	Event	TD_Event		
2899	as soon as get the file I will call immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10515	Election commision has given us tomorrows time to meet them.	To-Do	General	TD_General		
12937	Fire in the auditorium, many people trapped inside, call for help	Emergency	Fire	E_Fire		
7298	Your bus will be on scheduled time	General	General	G_General		
937	I'd like you to meet with Tom on Monday	General	General	G_General		
13012	Get the workers outside of the building as the fire is spreading really fast and inform the fire department as well	Emergency	Fire	E_Fire		
3124	Someone is in trouble on the cliffs	Emergency	Police	E_Police		
1920	how many books have u read on this topic	General	General	G_General		
1594	I heard someone call my name in the crowd	General	General	G_General		
1893	save tree as the give oxygen	General	General	G_General		
3304	Reserved animal is being hunted in forest.	Emergency	Police	E_Police		
5929	Drop an email to Vyas tomorrow	To-Do	Urgent_Normal	TD_Urgent_Normal		
11634	Use code RUSHGZ for 40% off on first 1000 orders. Use code FP10 for 10% off thereon(starts 730pm). Get 20% freecharge cashback too here: https://goo.gl/zOPpMo.	General	General	G_General		
5790	give school fees in the next two days	To-Do	Urgent_Normal	TD_Urgent_Normal		
2316	Someone is above to die because of toofan stuck , please call amabulance	Emergency	Health	E_Health		
4356	identification of suspected person	Emergency	Police	E_Police		
3425	I am facing trouble near city bus stop, please help me out.	Emergency	Personal	E_Personal		
1570	Paula was called away on urgent business meeting	General	General	G_General		
9370	Patient critical	Emergency	Health	E_Health		
5287	mahi sent message to me in the night time to bring cake immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
7363	You parents are about to reach the city. Please book/Schedule the cab for pick up	To-Do	Urgent_Normal	TD_Urgent_Normal		
207	Tom said it was urgent. call him	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6971	mobile caught fire while talking over the phone, need immediate assistance	Emergency	Fire	E_Fire		
5368	Im getting some emergency call,I will call you back	To-Do	Urgent_Normal	TD_Urgent_Normal		
12915	The guesthouse is on fire, quickly get the guests out of there	Emergency	Fire	E_Fire		
12321	FLAT 60% OFF LIFESTYLE's Republic Day Special: 26 - 29 Jan! Don't miss the best deals on top brands. Offer on select styles. T&C To opt out call 918039275834	General	General	G_General		
2691	The meeting was not so useful.	General	General	G_General		
5668	Give photos to print tomorrow	To-Do	General	TD_General		
8980	Urgent, Need money, please callback immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4780	appointment reminders, Today at 7am,Avoid missed training appointments and fitness course.	To-Do	Event	TD_Event		
1545	We'll call you when your table is ready.	To-Do	General	TD_General		
11651	Just for Today! Extra 25% OFF on EVERYTHING on website! No Conditions! Shop online at lifestylestores.com use code -EXTRA25 -Valid only on website	General	General	G_General		
1211	Who is calling, please?	General	General	G_General		
12080	Exclusively for you! UPTO 50% OFF from Dec 26-29 @ Exclusive Preview of LIFESTYLE SALE! Plus 5% Cashback on HDFC, StanC Cards. T&C To opt out call 918039275834	General	General	G_General		
10726	I wish I'd met her in next twodays	To-Do	General	TD_General		
2742	Would tomorrow at 4pm be convenient for you? Would this be convenient?	To-Do	Event	TD_Event		
4077	Terrorist activites suspected near a building.	Emergency	Police	E_Police		
7550	Help needed urgently	Emergency	Personal	E_Personal		
6114	Please advise to consult with doctors. I am feeling burning sensation in stomach and indigestion from a long time.	Emergency	Health	E_Health		
5281	I wanted to meet you ,please call me right now and share your's home address	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10006	Oh dang! I didn't mean to send that to you! Lol! Discard the old file….and install the new one I will be sending now..this file needs to be discussed in todays meeting	To-Do	General	TD_General		
9323	Someone stole my ATM pin, kindly help to recover	Emergency	Personal	E_Personal		
1227	May I call on you again? (lukaszpp)	General	General	G_General		
6833	his whole factory is on fire, call the emergency now	Emergency	Fire	E_Fire		
11947	Please call Teena too when u go for gym equipments check	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8190	Ho ho - big belly laugh! See ya tomo	General	General	G_General		
10686	I will call you later ,I need to call to them to come immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
955	I wanted to meet Tom today at 5pm	General	General	G_General		
4855	Let's reschedule our meeting to 5.30 p.m	To-Do	Event	TD_Event		
5174	fire, call for the evacuation procedure now	Emergency	Fire	E_Fire		
12043	Out for Delivery: Intex Aqua 5.5 VR (Bla... with tracking ID FMPP0074487403 from flipkart.com, will be delivered before 7pm today by an EKART Wish Master (call 08033509004, PIN 166).	General	General	G_General		
12352	You've earned Rs.50 goCash+ in your online@gmail.com account because your contact booked a trip on Goibibo. https://bnc.lt	General	General	G_General		
5947	Take uncle john to gym at 3PM	To-Do	Urgent_Normal	TD_Urgent_Normal		
3221	Family member not well. Going to check with doctor	Emergency	Health	E_Health		
1756	I forgot to call Mr. Ford up.	General	General	G_General		
10592	We need more medical care for infants now	Emergency	Health	E_Health		
1962	I live nature	General	General	G_General		
10208	Are you in castor? You need to see something	General	General	G_General		
3846	KYC to be submitted to LPG by today	To-Do	Urgent_Normal	TD_Urgent_Normal		
8890	Family violence is there in our aprtment at flat no. T-26, please go and ring the bell there immediately.	To-Do	Urgent_Normal	TD_Urgent_Normal		
8282	Hello, when is the site going up, need to download something urgent	To-Do	Urgent_Normal	TD_Urgent_Normal		
7774	my kid injured , please call doctor	Emergency	Health	E_Health		
11346	Hi! Your Superyoung Or from SnapDeal, tracking no. xxx, will be delivered today. You may call us at 123 Xpressbees.	General	General	G_General		
6424	Plan for get together with family members	To-Do	General	TD_General		
7080	his friend's bike is on fire, help him now	Emergency	Fire	E_Fire		
12330	Natural Weight loss MY DIET plan by Anjali Mukerjee. Book for 5wks & Get 5wks FREE+1mnth skin glow plan FREE Offer till 31 Jan. For info miss call +918030636199	General	General	G_General		
2311	I got seriously injured by the masked man,nobody to help here, can you call near hospital for arrange ambulance my location is xxx	Emergency	Health	E_Health		
3953	I saw an accident need ambulance	Emergency	Health	E_Health		
1646	Tom thought he heard his name being called.	General	General	G_General		
6394	Planning/searching for investments	To-Do	General	TD_General		
11206	movie at 3.00 PM in PVR , please be on time	To-Do	Event	TD_Event		
11382	Data usage alert: You have consumed 50% of the data usage limit on your Airtel No. 959XXXXX0	General	General	G_General		
11264	call my training instructor to reschedule my class again	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3405	Driver driving the public transport bus is in inebriated condition	Emergency	Police	E_Police		
8058	Which medicine to give to mom, please call back urgently.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4907	Yoga session on Sunday 6a.m ..please carry yoga mats	To-Do	Event	TD_Event		
7580	Sorry to disturb you. But are you in your office now?Because I urgently need your help in filling up some research projectforms that are required for a science competition. It also requiresyour signature	Emergency	Personal	E_Personal		
9613	We need to take our grandfather for consultation immediately without fail	Emergency	Health	E_Health		
5475	Guests are coming home @ 7 pm today	To-Do	Event	TD_Event		
11281	due to strike In city school is closed	General	General	G_General		
7047	Do not disturb the Fire Brigade during Fire Fighting in case of fire accident.	General	General	G_General		
5611	IT declarations due tomorrow	To-Do	General	TD_General		
3900	Surgery is urgent, inform to wife	Emergency	Health	E_Health		
4929	Maths exam postponed to 15th .. We get extra time to study!!	To-Do	Event	TD_Event		
8679	Are you coming for the first time for meeting	General	General	G_General		
926	Tom will meet Mary after three years	General	General	G_General		
8651	flood situation,strucked in the middle of road.water level rising	Emergency	Personal	E_Personal		
4837	I just got mummy’s call informing your sudden heart attack. I reach there in 3hr.	To-Do	Event	TD_Event		
2676	Meeting got cancelled.	General	General	G_General_Neg	N_Emergency_Personal	
2460	South Sudan forces ‘deliberately set’ homes on fire last year, UN report says	Emergency	Fire	E_Fire		
5005	I am in clinic, suffering from tooth ache, call me later	Emergency	Health	E_Health		
7158	Book flight to Dehli.	To-Do	General	TD_General		
1229	My friends call me Beth.	General	General	G_General		
9019	Harrassing Child	General	General	G_General		
231	There is an urgent need for drinking water. call Tom immediately for water	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5357	If you can't come to office ,call me immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
13134	my friends car is on fire !! Call fire staton now.	Emergency	Fire	E_Fire		
12311	Diacussed with ABC from FS and asked to keep flag hoisting plan ready for tomorrow .. Sweets we may need to decide by tonight	To-Do	General	TD_General		
6342	Tried reaching you many times, My friend has met with an accident, Need blood. Call back ASAP	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4584	call back immediately for becoming member in IO club,special discount is offered	To-Do	Urgent_Normal	TD_Urgent_Normal		
10555	I will call you back immediately after getting ready	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10129	today train ticket booked get ready by 9PM	To-Do	General	TD_General		
12740	Pls once more send the list of gym and clubhouse items to Mark including TVs and Projector .. From his words looks like they may plan less nos. if not pushed early	General	General	G_General		
6837	Fire at the new railway station , help in evacuation	Emergency	Fire	E_Fire		
8457	100 dating service call; 09064012103 box334sk38ch	General	General	G_General		
6405	call to make follow up dentist appointment	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12673	A zesty breakfast is all you need! Order it today & get 20% off @ Faasos, Foodle Shop and more. Use code MORNING, valid till 12pm https://goo.gl/zOPpMo *T&C	General	General	G_General		
6252	Tom had an accident at work	To-Do	Urgent_Normal	TD_Urgent_Normal		
4741	Keep me reminding to visit my kid and buy stuff	To-Do	Urgent_Normal	TD_Urgent_Normal		
7480	I may lose my life	Emergency	Personal	E_Personal		
10860	once after wake up, please call me	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3417	Hi Laxman, please call ambulance urgently, one person got injured because of collision with my car.	Emergency	Personal	E_Personal		
4585	call back immediately if you want to join for trip	To-Do	Urgent_Normal	TD_Urgent_Normal		
1656	How many people are you planning on calling?	General	General	G_General		
98	We met them at the youth hostel.	General	General	G_General		
9092	Driver is drunk	General	General	G_General		
12314	Flag is with ABC	General	General	G_General		
1802	I'll call Tom in a few minutes.	To-Do	General	TD_General		
6313	I want to talk to you its urgent	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2367	Thom Coletti, a forest supervisor with the Florida Forest Service, said Florida is under an extreme brush fire danger due to lack of rain. Crews are investigating the fire, but Coletti believes an ATV or a campfire could have sparked the blaze.	Emergency	Fire	E_Fire		
3974	I am not getting any ambulance please help	Emergency	Health	E_Health		
6524	fix leaky faucet	To-Do	General	TD_General		
1772	Call me if you have a problem.	To-Do	General	TD_General		
5198	major fire, call the fire department now	Emergency	Fire	E_Fire		
1220	Give me a call sometime. (Hybrid)	General	General	G_General		
8757	I think that covers the first item of meeting agenda	General	General	G_General		
12561	Call me please, it's urgent	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1469	I meant to call Tom	General	General	G_General		
850	shall we meet on Sunday	General	General	G_General		
8467	Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny &lt;#&gt; do it now!!!!!	General	General	G_General		
7566	Someone help us now	Emergency	Personal	E_Personal		
6322	Mr Johnson, your new Cornwell Banks credit card is waiting for you at 13 High Street., Call back ASAP	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1276	What is this item called? (Mayo)	General	General	G_General		
13193	call fire department , emergency .	Emergency	Fire	E_Fire		
1236	Tom called out for help.	General	General	G_General		
2232	any software hacking , please call cyber police xxx number	Emergency	Police	E_Police		
5592	Drop guest to station	To-Do	General	TD_General		
9410	Inform about the cardiac arrest	Emergency	Health	E_Health		
12129	Wl cm	General	General	G_General		
7913	Someone's calling for help, fire at marathahalli.	Emergency	Fire	E_Fire		
8025	Friend dad is not well, call me back urgent.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
13263	Many people are injured in fire ! Call ambulance and fire emergency.	Emergency	Fire	E_Fire		
4951	You are the lucky winner of "Free Euro trip". Please be present at 12 pm tomorrow to collect the gift	To-Do	Event	TD_Event		
3284	Encroachment of government land is happening	Emergency	Police	E_Police		
11590	Airtel Digitaltv update- effective 18-oct-16, monthly rental for your Max HD Topup on Airtel digitaltv ID 3016549098-001 has been revised to Rs.190	General	General	G_General		
3348	Ragging is going on in hostel campus.	Emergency	Police	E_Police		
9949	Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e….celebrate this friendship dat at CCD..for more details reach us at 6382027402	To-Do	General	TD_General		
3354	Domestic violence on wife.	Emergency	Police	E_Police		
10904	Water bill not received for this month, check with BWSSB	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1118	I have little, if any time that I can call my own.	General	General	G_General		
8766	Thanks for your participation in the meeting	General	General	G_General		
7399	I gratefully accept your invitation to join xyz party on Friday, January 16 at 6:30 p.m.	General	General	G_General		
821	I'll meet you tomorrow	To-Do	General	TD_General		
2301	Please reply back, it is urgent.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1189	Call them this evening. (Amastan)	To-Do	Event	TD_Event		
10805	Friend abducted	Emergency	Police	E_Police		
2458	The fire has been isolated/controlled. All Syncrude personnel & contractors are to report for their night shift as per usual	Emergency	Fire	E_Fire		
3842	Cheque book over, apply for new book	To-Do	Urgent_Normal	TD_Urgent_Normal		
8741	Please join me in welcoming John for the meeting	General	General	G_General		
5101	Please book a Airport Taxi immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
1544	Was that you who called late last night?	General	General	G_General		
5133	Please receive Tom immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
9887	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. Go to their house this weekend and sort out everything... Have nice day da.	To-Do	General	TD_General		
12273	Buy from Lenskart today and get your First Frame Free. 1000s of styles on offer, visit w.lenskart.com/s/ea65TZ/PtIbII or Lenskart Store Optout sms LENS 567678	General	General	G_General		
2231	Phone call is hacked by kidnappers , need to get help from police	Emergency	Police	E_Police		
2621	Difficulty in breathing, please help	Emergency	Health	E_Health		
4901	Rahul is admitted in hospital. Let's meet him after office at 6?	To-Do	Event	TD_Event		
11310	Going native need help to get few item from market please bring while coming from office	To-Do	General	TD_General		
2202	Any gangs are fighting on roads ?? If so inform me	To-Do	Urgent_Normal	TD_Urgent_Normal		
10739	Please send as many as Ambulances from all the near by hospitals as Major accident due to colapse in building near marathali bridge.	Emergency	Health	E_Health		
1791	He as good as called me a liar.	General	General	G_General		
381	Dick got in a traffic accident. we should now go to police station and also call ambulance	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8628	Tell them u have a headache and just want to use 1 hour of sick time.	General	General	G_General		
6937	Fire near Bengaluru lake, call the fire department	Emergency	Fire	E_Fire		
9915	Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: "GOODMORNING &amp; HAVE A NICE DAY" :) planned dinner out tonight…home home early without fail	To-Do	General	TD_General		
1004	Tom wanted Mary to meet his parents on 10-march	General	General	G_General		
