S.No	Message	Old Category	Old Sub Category	Category	Sub Category	New Sub Category	Negative or Not	Remarks	IntegerLabel
2207	illegal issue While tenuring others property	Emergency	Police	Emergency	Police	E_Police			1
2208	While polling , if any gang is figthing , please call police	Emergency	Police	Emergency	Police	E_Police			1
2209	Any Accidents over on roads , please call 100 for help	Emergency	Police	Emergency	Police	E_Police			1
2210	any one is died suspisiously , please inform police	Emergency	Police	Emergency	Police	E_Police			1
2211	any one attemted for Sucide , please inform police	Emergency	Police	Emergency	Police	E_Police			1
2212	family members are fighting , ones head broke , please call	Emergency	Health	Emergency	Health	E_Health			1
2213	Any child found on roads crying , please inform police	Emergency	Police	Emergency	Police	E_Police			1
2214	Thief is roaming on roads , without fear , somebody call police and inform	Emergency	Police	Emergency	Police	E_Police			1
2215	Any one disturbing in this xxx area to others , pelase call police	Emergency	Police	Emergency	Police	E_Police			1
2216	xxx person creates Nonsense in Colony, arrest him and hand to police	Emergency	Police	Emergency	Police	E_Police			1
2217	if any murder happens, call police for protection	Emergency	Police	Emergency	Police	E_Police			1
2218	FlashMob at election  Meetings	Emergency	Police	Emergency	Police	E_Police			1
2219	Fire at College function	Emergency	Fire	Emergency	Fire	E_Fire			1
2220	Filmfare award Meeting held at xx road , if any while any Issues call xxx police	Emergency	Police	Emergency	Police	E_Police			1
2221	Accident case admit in hospital , requires police for help	Emergency	Police	Emergency	Police	E_Police			1
2223	someone murdering another person , pelase call police	Emergency	Police	Emergency	Police	E_Police			1
2224	Any one doing nonsense on roads , please inform , we will call police	Emergency	Police	Emergency	Police	E_Police			1
2225	shopkeeper head broke on road while fighting with other	Emergency	Health	Emergency	Health	E_Health			1
2226	people outside are disturbing to common public , arrest them	Emergency	Police	Emergency	Police	E_Police			1
2227	Rally on roads by gangs , need protection	Emergency	Police	Emergency	Police	E_Police			1
2229	Anyone hitting others on roads , please help call emergency number	Emergency	Police	Emergency	Police	E_Police			1
2230	Help required from police , as my brother absconded from last night	Emergency	Police	Emergency	Police	E_Police			1
2231	Phone call is hacked by kidnappers , need to get help from police	Emergency	Police	Emergency	Police	E_Police			1
2232	any software hacking , please call cyber police xxx number	Emergency	Police	Emergency	Police	E_Police			1
2233	in internet cafe some wrong things are happening call police	Emergency	Police	Emergency	Police	E_Police			1
2234	sports events security level has to increased , in past murdered was about happen	Emergency	Police	Emergency	Police	E_Police			1
2235	Railway station checking squard is behaviour wrong with crowd , please call to police	Emergency	Police	Emergency	Police	E_Police			1
2236	Inside Airport  any issues , please call airport incharge or police for help xx number	Emergency	Police	Emergency	Police	E_Police			1
2237	Any fighting in pubs and bars , please call police for help	Emergency	Police	Emergency	Police	E_Police			1
2239	In Bank unknown gang attacked , call police call police	Emergency	Police	Emergency	Police	E_Police			1
2240	In ATM unknow man  attack , person is died , call police	Emergency	Police	Emergency	Police	E_Police			1
2241	for dowry the next door person burnt wife alive , inform police as it emergency	Emergency	Police	Emergency	Police	E_Police			1
2242	husband torched wife for dowry , wife is in ICU , call police	Emergency	Police	Emergency	Police	E_Police			1
2243	while asking bribe police was informed to arrest him , as it is crime	Emergency	Police	Emergency	Police	E_Police			1
2244	Taking bribe is crime and call police to arrest him	Emergency	Police	Emergency	Police	E_Police			1
2245	police station is on fire from local gang , call ambulance	Emergency	Health	Emergency	Health	E_Health			1
2246	security guard badly behaved with celebrity inform police	Emergency	Police	Emergency	Police	E_Police			1
2247	move screening police protection required , gang fight happened here	Emergency	Police	Emergency	Police	E_Police			1
2248	wrong calls disturbing every time , please help me sir , register complaint	Emergency	Police	Emergency	Police	E_Police			1
2249	In election Pooling time , fire attack on opposition	Emergency	Police	Emergency	Police	E_Police			1
2251	nose is bleeding , call for doctor	Emergency	Health	Emergency	Health	E_Health			1
2252	That Kid has eat a iron object , call for doctor help	Emergency	Health	Emergency	Health	E_Health			1
2253	Kid has fell down inside water tank , mother crying for help	Emergency	Health	Emergency	Health	E_Health			1
2254	your kid  fell down from stairs and broke his head blood was bleeding	Emergency	Health	Emergency	Health	E_Health			1
2255	your grandmother has fell down and not able to stand up , leg cut into two pieces	Emergency	Health	Emergency	Health	E_Health			1
2256	Air inside this room is suffocating ,one of them fainted call doctor emergency	Emergency	Health	Emergency	Health	E_Health			1
2257	Oxygen level comes down,vacate this place ASAP , call for fire station	Emergency	Fire	Emergency	Health	E_Health			1
2258	It's 12 AM,that place seems not safe	General	Information	Emergency	Personal	E_Personal			1
2259	snake has attacked your kid , while playing on road , call doctor	Emergency	Health	Emergency	Health	E_Health			1
2260	cheetah was on road , call police for protection	Emergency	Police	Emergency	Police	E_Police			1
2261	due to bandh lot of fighting’s happening ,tyres are brunt , fire is getting worse	Emergency	Fire	Emergency	Fire	E_Fire			1
2262	durnked man is shwoing knife to his wife , call for help	Emergency	Police	Emergency	Police	E_Police			1
2263	Dog was badly hurted by truck , call for doctor help the dog	Emergency	Health	Emergency	Health	E_Health			1
2264	Neighbours dog has attacked my sibling , he crying with pain , call doctor for help	Emergency	Health	Emergency	Health	E_Health			1
2265	I have seen a mental retarted person with gun standing near to your house , scaring every one	Emergency	Health	Emergency	Health	E_Health			1
2266	I have seen a masked person jumping your boundry wall , call police for help	Emergency	Police	Emergency	Police	E_Police			1
2267	I have seen a masked person talking to your kid , might be he have kidnapped , call police and inform	Emergency	Police	Emergency	Police	E_Police			1
2268	Some random car hit and run , where in car small kid was crying for help with injuries	Emergency	Health	Emergency	Health	E_Health			1
2269	Boy standing next to you has a big knife and he his is not normal person , call ambulance	Emergency	Health	Emergency	Health	E_Health			1
2270	Boy standing next to you has a gun and his behaviour is not decent, call police	Emergency	Police	Emergency	Police	E_Police			1
2271	He jumped in front of a running train, call ambulance for help	Emergency	Health	Emergency	Health	E_Health			1
2272	she was crying for help , as her husband struggling for breath on road	Emergency	Health	Emergency	Health	E_Health			1
2273	somebody unkown trying to jump from 14th floor , call Police to help the person not to jump	Emergency	Police	Emergency	Police	E_Police			1
2274	She cuts her wrist and cut is deep , she is unconscious , call doctor	Emergency	Health	Emergency	Health	E_Health			1
2275	I have seen a big snake on your roof top which bit small kid , kid is  in danger	Emergency	Health	Emergency	Health	E_Health			1
2276	Plane traveling is hijacked , please inform ATC room , people are in danger	Emergency	Police	Emergency	Police	E_Police			1
2278	A drunked person is following you	Urgent	Information	Emergency	Police	E_Police			1
2279	A riot is happenig next to your colony	Urgent	Information	Emergency	Police	E_Police			1
2280	Kid has blasted his hand by crackers , take him to hospital	Emergency	Health	Emergency	Health	E_Health			1
2281	Check your phone,thers is some smoke coming out	Urgent	Information	Emergency	Personal	E_Personal			1
2283	Strucked inside the  lift	Urgent	Call back	Emergency	Personal	E_Personal			1
2284	Snake inside washroom	Urgent	Information	Emergency	Personal	E_Personal			1
2285	Wild animal attacked a child inside Zoo , call for medical help immediately	Emergency	Health	Emergency	Health	E_Health			1
2287	Airport security was stabbed by criminal for requesting passport , people around called for help	Emergency	Health	Emergency	Health	E_Health			1
2288	Airport security officer was shoot with pistol from a stranger , call for Ambulance	Emergency	Health	Emergency	Health	E_Health			1
2289	Security at Airport was getting bribe and supply of unwanted  arms , common man saw called for police to arrest	Emergency	Police	Emergency	Police	E_Police			1
2290	At railways station Ticket checker caught me without platform ticket,have no money	Urgent	Call back	Emergency	Personal	E_Personal			1
2292	A suspicious bag found at bus stop , inform police	Emergency	Police	Emergency	Police	E_Police			1
2293	A suspicious bag found at railway station, call police	Emergency	Police	Emergency	Police	E_Police			1
2294	A suspicious bag found at public place , inform police	Emergency	Police	Emergency	Police	E_Police			1
2295	Blast inside meachanic workshop near your home	Emergency	Health	Emergency	Health	E_Health			1
2296	A body Stabbed with knife found at a place	Emergency	Police	Emergency	Police	E_Police			1
2297	A person sititng next to me inside train/bus taking arms from bag	Emergency	Police	Emergency	Police	E_Police			1
2298	We found a kid crying inside train/public place without a guardian ,kid is nto able to tell address	Emergency	Police	Emergency	Police	E_Police			1
2299	I am alone at home,had a scary dream.my body is shivering	Urgent	Information	Emergency	Personal	E_Personal			1
2306	Jimmy is not well measles, I should call a doctor for help	Emergency	Health	Emergency	Health	E_Health			1
2307	Tom's house got fire , due to short circuit	Emergency	Fire	Emergency	Fire	E_Fire			1
2308	Please call the fire brigadier , fire is getting worst in next door	Emergency	Fire	Emergency	Fire	E_Fire			1
2309	LPG Gas blasted last night  at next house , some are partial injured and some are already dead , please call fire station	Emergency	Fire	Emergency	Fire	E_Fire			1
2310	My mother fell down and broke her elbow joint , can body help me assist  for hospital , or call ambulance	Emergency	Health	Emergency	Health	E_Health			1
2311	I got seriously injured by the masked man,nobody to help here, can you call near hospital for arrange ambulance my location is xxx	Emergency	Health	Emergency	Health	E_Health			1
2312	xxx person got seriously injured by the masked man. Blood is bleeding badly	Emergency	Health	Emergency	Health	E_Health			1
2313	John is seriously injured, his parents are out of station, call for medical assistant	Emergency	Health	Emergency	Health	E_Health			1
2314	This is an emergency case , as heart beat is varying , due to suffocation, call for respective people	Emergency	Health	Emergency	Health	E_Health			1
2315	Call police , I am kept in 8th floor, somebody kidnapped me	Emergency	Police	Emergency	Police	E_Police			1
2316	Someone is above to die because of toofan stuck , please call amabulance	Emergency	Health	Emergency	Health	E_Health			1
2319	Person in lift is above to die due to suffocation, as oxygen level is down in the lift , call for help	Emergency	Health	Emergency	Health	E_Health			1
2320	Emergency brake was not applied on the car at hill top , car crashed call for help	Emergency	Health	Emergency	Health	E_Health			1
2325	Tom fell off from his bike, and split his head open, call the ambulance for help	Emergency	Health	Emergency	Health	E_Health			1
2328	Yeah, that's the emergency.	General	Information	Emergency	Personal	E_Personal			1
2330	at Fire Drill, due to mess fire got more , call fire station	Emergency	Fire	Emergency	Fire	E_Fire			1
2332	Hotel where Dhoni was staying caught Fire and every one was evacuated	Emergency	Fire	Emergency	Fire	E_Fire			1
2333	Minor fire near Dubai Airport	Emergency	Fire	Emergency	Fire	E_Fire			1
2334	Boss car is on Fire , call fir station for help	Emergency	Fire	Emergency	Fire	E_Fire			1
2335	Pembroke Pines Fire Department spokesman Ruben Troncoso said the fire is burning next to the Heritage City mobile home park at 600 NW 219th Ave., just west of U.S. 27 and Pines Boulevard.	Emergency	Fire	Emergency	Fire	E_Fire			1
2337	Smoke rises from a fire at a construction site next to Dubai Mall in Dubai, United Arab Emirates,	Emergency	Fire	Emergency	Fire	E_Fire			1
2338	there is some smoke, lets see and call for help	Emergency	Fire	Emergency	Fire	E_Fire			1
2347	Brush fire burns near trailer park in Pembroke Pines	Emergency	Fire	Emergency	Fire	E_Fire			1
2348	Pembroke Pines Fire Department spokesman Ruben Troncoso said the fire is burning next to the Heritage City mobile home park at 600 NW	Emergency	Fire	Emergency	Fire	E_Fire			1
2349	"There was like a wall of fire. I mean, a wall back here," said Sherry Johnson, who came home just as the fire threatened her home.	Emergency	Fire	Emergency	Fire	E_Fire			1
2350	Patrick Mahoney with the Florida Forest Service estimated the fire to be "somewhere around 160 to 200 acres" and 95 percent contained	Emergency	Fire	Emergency	Fire	E_Fire			1
2351	Early in summer 2016, the so-called Islamic State set fire to one of Iraq's largest oil fields. It has taken Iraqi firefighters 10 months put the flames	Emergency	Fire	Emergency	Fire	E_Fire			1
2352	Upon arrival, units reported fire from a ground floor apartment. An attack of  fire was very high	Emergency	Fire	Emergency	Fire	E_Fire			1
2353	The Whatawhata Rd house at the centre of a suspicious fire call for help	Emergency	Fire	Emergency	Fire	E_Fire			1
2354	A fire started inside of a Burlington Coat Factory Wednesday afternoon	Emergency	Fire	Emergency	Fire	E_Fire			1
2355	Springfield firefighters on the scene of a fire Wednesday, April 5, at 31 Daytona St. The fire was found to be intentionally set	Emergency	Fire	Emergency	Fire	E_Fire			1
2357	PHOTOS: Garda Compound Fire, Dundalk Copyright @FireIreland 100 cars & building destroyed by fire. Fire crews from Dundalk, Dunlee, Ardee IA	Emergency	Fire	Emergency	Fire	E_Fire			1
2358	Boy may have set fire at San Diego Burlington Coat Factory	Emergency	Fire	Emergency	Fire	E_Fire			1
2359	Springfield fire causes $25K damage, displaces 4; found to be …	Emergency	Fire	Emergency	Fire	E_Fire			1
2360	Fire crews battle blaze in College Hill	Emergency	Fire	Emergency	Fire	E_Fire			1
2361	Tammy Snow of the Wichita Fire Department talks about the house fire Wednesday in east Wichita.	Emergency	Fire	Emergency	Fire	E_Fire			1
2362	A pile of construction material kept outside the airport perimeter caught fire . The reason behind the fire was not immediately known.	Emergency	Fire	Emergency	Fire	E_Fire			1
2363	Two people  in Portland apartment building fire was stuck	Emergency	Fire	Emergency	Fire	E_Fire			1
2364	PORTLAND (WGME) -- A fire at an apartment building in Portland leaves ... Portland  Fire was not getting controlled	Emergency	Fire	Emergency	Fire	E_Fire			1
2365	Evacuation at Canberra Hospital after switchboard catches fire	Emergency	Fire	Emergency	Fire	E_Fire			1
2366	Canberra Hospital's emergency department has been affected and all elective surgeries cancelled after a switchboard caught fire	Emergency	Fire	Emergency	Fire	E_Fire			1
2367	Thom Coletti, a forest supervisor with the Florida Forest Service, said Florida is under an extreme brush fire danger due to lack of rain. Crews are investigating the fire, but Coletti believes an ATV or a campfire could have sparked the blaze.	Emergency	Fire	Emergency	Fire	E_Fire			1
2370	The Fire on Ice Payday Party at the BIC	Emergency	Fire	Emergency	Fire	E_Fire			1
2376	The fire threatened mobile homes in the Holly Lakes neighborhood. Residents said they watched the flames in fear."I saw it on the news. I saw the aerial shot and saw the fires were too close for comfort," said resident Loida Gonzale	Emergency	Fire	Emergency	Fire	E_Fire			1
2377	Fire battle 'massive fire' in Harrisburg	Emergency	Fire	Emergency	Fire	E_Fire			1
2378	According to dispatch reports, the fire was located at 319 Maclay Street, off of Third Street. The fire jumped the street, according to reports	Emergency	Fire	Emergency	Fire	E_Fire			1
2379	Large brush fire in Punta Gorda 95% contained	Emergency	Fire	Emergency	Fire	E_Fire			1
2380	Patrick Mahoney with the Florida Forest Service estimated the fire to be "somewhere around 160 to 200 acres" and 95 percent got damage	Emergency	Fire	Emergency	Fire	E_Fire			1
2382	The fire was reported at 2:12 p.m. and brought under control about just about an hour later. Township police were first on the scene and reported the home was fully engulfed in flames and quickly learned that all occupants were out of the residence, police said.	Emergency	Fire	Emergency	Fire	E_Fire			1
2383	The fire was quickly brought under control and extinguished by the Hillsborough, Manville, Somerville, Bridgewater and Millstone Valley fire companies, police said.	Emergency	Fire	Emergency	Fire	E_Fire			1
2384	The fire is being investigated by the township police department along with the township Fire Safety Bureau. The fire is not believed to be suspicious as of Wednesday evening, police said	Emergency	Fire	Emergency	Fire	E_Fire			1
2385	Those responding to the fire included Hillsborough Fire Companies 36 and 37, Manville Fire Company, Somerville Fire Company, Finderne Fire Department and the Millstone Valley Fire Company, along with Hillsborough EMS Unit 79, Robert Wood Johnson EMS units, the township Office of Emergency Managment, township Fire Safety bureau and the township Building Departmen	Emergency	Fire	Emergency	Fire	E_Fire			1
2386	Crews contain fire at business in southeast industrial area	Emergency	Fire	Emergency	Fire	E_Fire			1
2387	Firefighters had to contend with some tricky conditions while dealing with a fire at a vehicle processing facility in the city’s southeast on Wednesday morning.	Emergency	Fire	Emergency	Fire	E_Fire			1
2388	Emergency crews were called to a business in the 3500 block of 52 Street S.E. at about 11:05 a.m. for reports of a fire.	Emergency	Fire	Emergency	Fire	E_Fire			1
2389	Officials say that some propane and vehicle tanks exploded and that the fire also spread to a nearby power pole, which brought live electrical wires down on the scene.	Emergency	Fire	Emergency	Fire	E_Fire			1
2390	Crews launch an aerial attack on a fire at a vehicle processing facility on Wednesday, April 5, 2017.	Emergency	Fire	Emergency	Fire	E_Fire			1
2391	The road was closed to give crews room to work and they were able to bring the fire under control at about noon.One employee was safely evacuated from the scene and no injuries were reported.	Emergency	Fire	Emergency	Fire	E_Fire			1
2392	Calgary Fire Department fire investigators are working to determine the origin and cause of the blaze and are asking anybody with photos, video or information to email piofire@calgary.ca	Emergency	Fire	Emergency	Fire	E_Fire			1
2393	Fire Claims Life of Malaga Woman	Emergency	Fire	Emergency	Fire	E_Fire			1
2394	Several firefighters were called to the home of an elderly Malaga couple Wednesday, but unfortunately couldn’t save the woman who died in her bedroom. Chelan County Fire Chief Mike Burnett says the first to respond were Chelan County Fire District 1 and Douglas County Fire District 2.	Emergency	Fire	Emergency	Fire	E_Fire			1
2395	“Most typically in fire fatalities like this, it’s usually from smoke inhalation. The person doesn’t usually get burned causing the fatality and so just the nasty gases and chemicals given off by the fire are usually the cause.”	Emergency	Fire	Emergency	Fire	E_Fire			1
2396	Burnett said the fire started in the bedroom, but there was no clear indication as to what caused it.	Emergency	Fire	Emergency	Fire	E_Fire			1
2397	Fire at vacant San Bernardino duplex possibly connected to squatter activity	Emergency	Fire	Emergency	Fire	E_Fire			1
2398	Firefighters took 22 minutes to knock out a fire in an abandoned duplex Wednesday night.	Emergency	Fire	Emergency	Fire	E_Fire			1
2399	The fire appeared to have started in an outside patio aside one half of the duplex and went inside, he said.	Emergency	Fire	Emergency	Fire	E_Fire			1
2400	The building was boarded up tightly, which Jager said delayed firefighters from entering.Jager said there was evidence and reports from neighbors of squatter activity at or around the structure, but did not know if that was to blame. The fire was still under investigation at 9 p.m.,	Emergency	Fire	Emergency	Fire	E_Fire			1
2401	Crews were called late Wednesday evening to a duplex fire in Jacksonville's Sandalwood neighborhood.	Emergency	Fire	Emergency	Fire	E_Fire			1
2402	The fire started just after 11 p.m. at a home on Green Spring Drive.	Emergency	Fire	Emergency	Fire	E_Fire			1
2403	Both women who live in the homes and their dogs were OK.There's no word yet on the cause of the fire or the extent of the damage.	Emergency	Fire	Emergency	Fire	E_Fire			1
2404	House destroyed after huge fire in Wickwane Road, Beverley	Emergency	Fire	Emergency	Fire	E_Fire			1
2405	A house has been destroyed in a huge fire and an entire street had to be evacuated this evening.Humberside Fire and Rescue were called to Wickwane Road in Beverley at about 7.50pm to find the terraced house "well alight"	Emergency	Fire	Emergency	Fire	E_Fire			1
2406	One neighbour, Jade Wasling, who has lived on the street for six years lives three doors down from the home where the fire started, said: "I came back from parents evening tonight to find this. There was smoke everywhere	Emergency	Fire	Emergency	Fire	E_Fire			1
2407	Nobody has been hurt in the fire, although a man was in the back garden of the house at the time. The cause of it is currently unknown and an investigation has been launched.	Emergency	Fire	Emergency	Fire	E_Fire			1
2408	"The cause of the fire is still under investigation but the reports are the house was well alight and the only occupant was in the back garden when fire crews arrived," he said."The fire started in the rear of the house on the ground floor and spread to the upstairs. There was some smoke in the loft space that spread to the neighbouring properties on either side"	Emergency	Fire	Emergency	Fire	E_Fire			1
2409	A retirement center under construction in south St. Louis County was gutted by fire early Wednesday	Emergency	Fire	Emergency	Fire	E_Fire			1
2410	A neighbor reported the fire after seeing 40-foot flames coming from one of the buildings at the complex about 3:30 a.m. About 45 to 50 firefighters from Mehlville, Affton, Fenton, Crestwood and Webster Groves worked to put it out. More than five hours later, they were close to extinguishing the fire. A few hot spots remained.	Emergency	Fire	Emergency	Fire	E_Fire			1
2411	Bomb and arson detectives will be investigating. Mehville Assistant Fire Chief Dan LaFata said it was “too early” to say if the fire was suspicious. He said there was “nothing to indicate” that an accelerant had been used to spread the fire.	Emergency	Fire	Emergency	Fire	E_Fire			1
2412	assistance from the bomb and arson investigators due to “just the nature of the fire and the size of the fire.”	Emergency	Fire	Emergency	Fire	E_Fire			1
2413	When firefighters first arrived, they saw heavy fire coming from the back of the building, all in an attic space, LaFata saidAt 9 a.m., LaFata said, the few remaining hot spots were about to be under control, and the fire was no longer spreading	Emergency	Fire	Emergency	Fire	E_Fire			1
2414	Dingwall Leisure Centre evacuated after fire breaks out, Twenty people were involved in the evacuation. The fire was found at about 12:10 and firefighters were called.	Emergency	Fire	Emergency	Fire	E_Fire			1
2415	The Scottish Fire and Rescue Service said two firefighters wearing breathing apparatus used a hose reel and a CO2 extinguisher to deal with the fire	Emergency	Fire	Emergency	Fire	E_Fire			1
2416	Wires fell from an overhead power line Monday afternoon, sparking a brush fire that took volunteers from a dozen fire departments two hours to extinguish, LaFayette Assistant Fire Chief Sean Doolittle said	Emergency	Fire	Emergency	Fire	E_Fire			1
2417	When firefighters arrived, they found an arm of a high-tension, 115,000-volt power line had broken and wires had fallen onto the grass, Doolittle saidThe fire was on the Apulia Road hillside near railroad tracks and near Dodge Road, he said.	Emergency	Fire	Emergency	Fire	E_Fire			1
2418	Firefighters used hoses, rakes and other firefighting tools used to battle brush fires to attack the fire, Doolittle said	Emergency	Fire	Emergency	Fire	E_Fire			1
2419	Marine's American flag set on fire in act of vandalism	Emergency	Fire	Emergency	Fire	E_Fire			1
2420	A disabled, elderly woman was trying to reach her walker when she collapsed during an Everett house fire early Saturday. She and her daughter both died trying to escape the blaze,	Emergency	Fire	Emergency	Fire	E_Fire			1
2421	The Everett Fire Department gives free smoke detectors to elderly and disabled people. “We come right to their home,”	Emergency	Fire	Emergency	Fire	E_Fire			1
2422	Firefighters responded to a call at about 6 a.m., about an hour after clocks in the house stopped, presumably because of the fire,	Emergency	Fire	Emergency	Fire	E_Fire			1
2423	It appeared to have started near the back of the home in a family room, where flames were shooting 30 to 40 feet into the air, Crews contained the fire within 30 minutes.	Emergency	Fire	Emergency	Fire	E_Fire			1
2424	Anthea Ayache, who witnessed the blaze, said firefighters responded quickly and many construction workers were nearby watching the fire from a safe distance.	Emergency	Fire	Emergency	Fire	E_Fire			1
2425	There's so many fire brigades, so they seem to have gotten on top of it very quickly,	Emergency	Fire	Emergency	Fire	E_Fire			1
